----- POSITION COMMAND -----
16.33	-0.00	-0.00	1.18
t(s)	x(m)	y(m)	z(m)	vx(m/s)	vy(m/s)	vz(m/s)
24.87 -0.00 0.97 1.18 -0.00 0.10 0.00
24.92 -0.00 0.98 1.18 -0.00 0.10 0.00
24.97 -0.00 0.98 1.18 -0.00 0.09 -0.00
25.2 -0.00 0.99 1.18 -0.00 0.09 -0.00
25.7 -0.00 0.99 1.18 -0.00 0.08 -0.00
25.12 -0.00 0.99 1.18 -0.00 0.07 -0.00
25.17 -0.00 1.00 1.18 -0.00 0.07 -0.00
25.22 -0.00 1.00 1.18 -0.00 0.06 -0.00
25.27 -0.00 1.00 1.18 -0.00 0.05 -0.00
25.32 -0.00 1.01 1.18 -0.00 0.05 -0.00
25.37 -0.00 1.01 1.18 -0.00 0.04 -0.00
25.42 -0.00 1.01 1.18 -0.00 0.03 -0.00
25.47 -0.00 1.01 1.18 -0.00 0.03 -0.00
25.52 -0.00 1.01 1.18 -0.00 0.02 -0.00
25.57 -0.00 1.01 1.18 -0.00 0.01 -0.00
25.62 -0.00 1.01 1.18 -0.00 0.01 -0.00
25.67 -0.00 1.01 1.18 -0.00 0.00 -0.00
25.72 -0.00 1.01 1.18 -0.00 -0.00 -0.00
25.77 -0.00 1.01 1.18 -0.00 -0.01 -0.00
25.82 -0.00 1.01 1.18 -0.00 -0.01 -0.00
25.87 -0.00 1.01 1.18 -0.00 -0.01 -0.00
25.92 -0.00 1.01 1.18 -0.00 -0.02 -0.00
25.97 -0.00 1.01 1.18 -0.00 -0.02 -0.00
26.2 -0.00 1.01 1.18 -0.00 -0.02 -0.00
26.7 -0.00 1.01 1.18 -0.00 -0.02 -0.00
26.12 -0.00 1.01 1.18 -0.00 -0.02 -0.00
26.17 -0.00 1.01 1.18 -0.00 -0.03 -0.00
26.22 -0.00 1.01 1.18 -0.00 -0.03 -0.00
26.27 -0.00 1.00 1.18 -0.00 -0.03 -0.00
26.32 -0.00 1.00 1.18 -0.00 -0.03 -0.00
26.37 -0.00 1.00 1.18 -0.00 -0.03 -0.00
26.42 -0.00 1.00 1.18 -0.00 -0.02 -0.00
26.47 -0.00 1.00 1.18 -0.00 -0.02 -0.00
26.52 -0.00 1.00 1.18 -0.00 -0.02 -0.00
26.57 -0.00 1.00 1.18 -0.00 -0.02 -0.00
26.62 -0.00 1.00 1.18 -0.00 -0.02 -0.00
26.67 -0.00 0.99 1.18 -0.00 -0.02 -0.00
26.72 -0.00 0.99 1.18 -0.00 -0.02 -0.00
26.77 -0.00 0.99 1.18 -0.00 -0.01 -0.00
26.82 -0.00 0.99 1.18 -0.00 -0.01 -0.00
26.87 -0.00 0.99 1.18 -0.00 -0.01 -0.00
26.92 -0.00 0.99 1.18 -0.00 -0.01 -0.00
26.97 -0.00 0.99 1.18 -0.00 -0.01 -0.00
27.2 -0.00 0.99 1.18 -0.00 -0.01 -0.00
27.7 -0.00 0.99 1.18 -0.00 -0.00 -0.00
27.12 -0.00 0.99 1.18 -0.00 -0.00 -0.00
27.17 -0.00 0.99 1.18 -0.00 -0.00 -0.00
27.22 -0.00 0.99 1.18 -0.00 0.00 -0.00
27.27 -0.00 0.99 1.18 -0.00 0.00 -0.00
27.32 -0.00 0.99 1.18 -0.00 0.00 -0.00
27.37 -0.00 0.99 1.18 -0.00 0.00 -0.00
27.42 -0.00 0.99 1.18 -0.00 0.01 -0.00
27.47 -0.00 0.99 1.18 -0.00 0.01 -0.00
27.52 -0.00 0.99 1.18 -0.00 0.01 -0.00
27.57 -0.00 0.99 1.18 -0.00 0.01 -0.00
27.62 -0.00 0.99 1.18 -0.00 0.01 -0.00
27.67 -0.00 0.99 1.18 -0.00 0.01 -0.00
27.72 -0.00 0.99 1.18 -0.00 0.01 -0.00
27.77 -0.00 0.99 1.18 -0.00 0.01 -0.00
27.82 -0.00 0.99 1.18 -0.00 0.01 -0.00
27.87 -0.00 0.99 1.18 -0.00 0.01 -0.00
27.92 -0.00 0.99 1.18 -0.00 0.01 -0.00
27.97 -0.00 1.00 1.18 -0.00 0.01 -0.00
28.2 -0.00 1.00 1.18 -0.00 0.01 -0.00
28.7 -0.00 1.00 1.18 -0.00 0.01 -0.00
28.12 -0.00 1.00 1.18 -0.00 0.01 -0.00
28.17 -0.00 1.00 1.18 -0.00 0.01 -0.00
28.22 -0.00 1.00 1.18 -0.00 0.01 -0.00
28.27 -0.00 1.00 1.18 -0.00 0.01 -0.00
28.32 -0.00 1.00 1.18 -0.00 0.01 -0.00
28.37 -0.00 1.00 1.18 -0.00 0.01 -0.00
28.42 -0.00 1.00 1.18 -0.00 0.01 -0.00
28.47 -0.00 1.00 1.18 -0.00 0.00 -0.00
28.52 -0.00 1.00 1.18 -0.00 0.00 -0.00
28.57 -0.00 1.00 1.18 -0.00 0.00 -0.00
28.62 -0.00 1.00 1.18 -0.00 0.00 -0.00
28.67 -0.00 1.00 1.18 -0.00 0.00 -0.00
28.72 -0.00 1.00 1.18 -0.00 0.00 -0.00
28.77 -0.00 1.00 1.18 -0.00 0.00 -0.00
28.82 -0.00 1.00 1.18 -0.00 0.00 -0.00
28.87 -0.00 1.00 1.18 -0.00 0.00 -0.00
----- POSITION COMMAND -----
30.23	1.00	1.00	1.18
t(s)	x(m)	y(m)	z(m)	vx(m/s)	vy(m/s)	vz(m/s)
30.20 -0.00 1.00 1.18 -0.00 -0.00 -0.00
30.25 -0.00 1.00 1.18 -0.00 -0.00 -0.00
30.30 -0.00 1.00 1.18 0.02 0.00 -0.00
30.35 0.00 1.00 1.18 0.18 -0.00 -0.02
30.40 0.02 1.00 1.18 0.38 -0.00 -0.06
30.45 0.04 1.00 1.18 0.58 -0.00 -0.08
30.50 0.08 1.00 1.17 0.77 -0.00 -0.09
30.55 0.12 1.00 1.17 0.92 -0.00 -0.08
30.60 0.17 1.00 1.16 1.06 -0.00 -0.07
30.65 0.22 1.00 1.16 1.16 -0.00 -0.05
30.70 0.28 1.00 1.16 1.24 -0.00 -0.03
30.75 0.35 1.00 1.16 1.29 -0.00 -0.01
30.80 0.41 1.00 1.16 1.32 -0.00 0.00
30.85 0.48 1.00 1.16 1.33 -0.00 0.02
30.90 0.55 1.00 1.16 1.33 -0.00 0.03
30.95 0.61 1.00 1.16 1.31 -0.00 0.03
31.0 0.68 1.00 1.16 1.28 -0.00 0.04
31.5 0.74 1.00 1.16 1.23 -0.00 0.04
31.10 0.80 1.00 1.17 1.18 -0.00 0.04
31.15 0.86 1.00 1.17 1.12 -0.00 0.04
31.20 0.91 1.00 1.17 1.05 -0.00 0.03
31.25 0.96 1.00 1.17 0.97 -0.00 0.03
31.30 1.01 1.00 1.17 0.89 -0.00 0.02
31.35 1.05 1.00 1.17 0.81 -0.00 0.02
31.40 1.09 1.00 1.17 0.72 -0.00 0.01
31.45 1.12 1.00 1.17 0.64 -0.00 0.01
31.50 1.15 1.00 1.17 0.55 -0.00 0.01
31.55 1.18 1.00 1.17 0.46 -0.00 0.00
31.60 1.20 1.00 1.17 0.38 0.00 0.00
31.65 1.22 1.00 1.17 0.30 0.00 0.00
31.70 1.23 1.00 1.17 0.22 0.00 0.00
31.75 1.24 1.00 1.17 0.15 0.00 0.00
31.80 1.24 1.00 1.18 0.07 0.00 0.00
31.85 1.25 1.00 1.18 0.01 0.00 0.00
31.90 1.24 1.00 1.18 -0.05 0.00 0.01
31.95 1.24 1.00 1.18 -0.11 0.00 0.01
32.0 1.23 1.00 1.18 -0.16 0.00 0.01
32.5 1.22 1.00 1.18 -0.20 0.00 0.01
32.10 1.21 1.00 1.18 -0.24 0.00 0.01
32.15 1.20 1.00 1.18 -0.27 0.00 0.01
32.20 1.19 1.00 1.18 -0.30 0.00 0.01
32.25 1.17 1.00 1.18 -0.32 0.00 0.01
32.30 1.15 1.00 1.18 -0.34 0.00 0.01
32.35 1.14 1.00 1.18 -0.35 0.00 0.01
32.40 1.12 1.00 1.18 -0.35 0.00 0.01
32.45 1.10 1.00 1.18 -0.36 0.00 0.01
32.50 1.08 1.00 1.18 -0.35 0.00 0.01
32.55 1.07 1.00 1.18 -0.35 0.00 0.01
32.60 1.05 1.00 1.18 -0.34 0.00 0.01
32.65 1.03 1.00 1.18 -0.33 0.00 0.01
32.70 1.02 1.00 1.18 -0.31 0.00 0.01
32.75 1.00 1.00 1.19 -0.29 0.00 0.01
32.80 0.99 1.00 1.19 -0.27 0.00 0.01
32.85 0.97 1.00 1.19 -0.25 0.00 0.00
